id,request,class
1,"Jenkins-pipeline падает на этапе build (npm install). Логи показывают ENOMEM.",IT
2,"Не приходит зарплата за сентябрь, начисление есть, но в банк не ушло.",Бухгалтерия
3,"Сверка по НДС: формируется неверно в отчёте за 3 квартал.",Бухгалтерия
4,"Не подключается сетевой диск: permission denied при монтировании.",IT
5,"Прошу оформить отпуск с 10.11 по 24.11 включительно. Заявление прикрепил.",HR
6,"У меня ошибка в 1С: не считает налог на прибыль при вводе расхода.",Бухгалтерия
7,"Outlook не отправляет письма через SMTP: authentication failed.",IT
8,"Ошибка при вводе первичных документов: система ругается на пустое поле 'контрагент'.",Бухгалтерия
9,"Нужно добавить пользователя в группу AD и выдать доступ к почте.",IT
10,"Прошу предоставить справку о доходах за 2023 год для банка.",Бухгалтерия
11,"Не удаётся пройти двухфакторную аутентификацию (token code invalid).",IT
12,"Запрос на согласование премии сотруднику Иванову И.И. за квартал Q3.",HR
13,"При попытке загрузки файла в 1С падает ошибка 'OutOfMemoryError'.",Бухгалтерия
14,"VPN постоянно рвёт соединение, особенно утром.",IT
15,"Нужно изменить реквизиты в платежном поручении: неверный КБК.",Бухгалтерия
16,"Монитор показывает полосы — подозреваю аппаратную неисправность.",Мусорный
17,"Прошу заменить клавиатуру на ноутбуке: клавиша Enter не работает.",Мусорный
18,"Тестовый запрос: удалось ли получить моё письмо?",Мусорный
19,"Не работает веб-часть в Confluence после обновления.",IT
20,"Как оформить декретный отпуск сотруднице Петровой?",HR
21,"Ошибка 500 при выгрузке отчёта по НДС в формате XML.",Бухгалтерия
22,"Требуется доступ к репозиторию GitLab для работы над проектом.",IT
23,"В карточке сотрудника неверный табельный номер.",HR
24,"Фискальный регистратор не печатает чеки.",Бухгалтерия
25,"Срочно: не открывается 1С (ошибка лицензии).",Бухгалтерия
26,"Прошу установить сертификат SSL на тестовый сайт.",IT
27,"Отсутствует аванс сотруднику за октябрь.",HR
28,"Нужна корректировка в книге покупок: поставщик указан неверно.",Бухгалтерия
29,"При подключении по RDP сбрасывает соединение.",IT
30,"Запрос на предоставление командировочных: дата с 05.12 по 10.12.",HR
31,"Не приходят уведомления из Zabbix на почту.",IT
32,"Как заполнить 6-НДФЛ за полугодие?",Бухгалтерия
33,"Прошу добавить в список рассылки проекта.",IT
34,"Прошу выдать новую трудовую книжку за утерю.",HR
35,"Ошибка в регламентной отправке отчётности — таймаут.",Бухгалтерия
36,"Проблема с драйвером принтера: печать останавливается посередине.",Мусорный
37,"Прошу оформить доплату за перевод в другой город.",HR
38,"Публикацию в репозитории блокирует pre-receive hook.",IT
39,"Нужно обновить шаблон платёжного поручения в системе.",Бухгалтерия
40,"Телефонный аппарат не включается.",Мусорный
41,"Не могу зайти в Jira: 403 Forbidden.",IT
42,"Как оформить увольнение по собственному желанию?",HR
43,"Платёжное поручение ушло с ошибкой: неверный счёт получателя.",Бухгалтерия
44,"Сбой в работе LDAP: некоторые пользователи не проходят аутентификацию.",IT
45,"Прошу предоставить выписку по зарплате за прошлый год.",HR
46,"Ошибка при формировании файла для банка: неверный формат.",Бухгалтерия
47,"VPN не даёт доступ к внутреннему приложению.",IT
48,"Не могу добавить банковский реквизит: поле 'ИНН' не принимается.",Бухгалтерия
49,"На рабочем месте не заряжается ноутбук.",Мусорный
50,"Запрос на интеграцию с SSO (SAML) для входа сотрудников.",IT
51,"Запрос по отпускным — как считается при увольнении?",HR
52,"Налоговая база указана неверно в отчёте по налогу на прибыль.",Бухгалтерия
53,"Не приходит почта от внешнего поставщика, SPF/DKIM настроены?",IT
54,"Прошу распечатать справку для посольства (срочно).",HR
55,"Ошибка расчёта амортизации в модуле ОС.",Бухгалтерия
56,"Не работает микрофон в Teams на моём устройстве.",IT
57,"В отделе возник спор по графику отпусков.",HR
58,"Нужно сформировать реестр платежей за август.",Бухгалтерия
59,"Проблема с доступом к S3-бакапу — AccessDenied.",IT
60,"Как оформить перевод сотрудника на другую должность?",HR
61,"При формировании приходного ордера система падает.",Бухгалтерия
62,"Не проходит обновление на Windows 10: BSOD.",IT
63,"Прошу оформить выплату компенсации за обучение.",HR
64,"В системе неверно отражены остатки по складу.",Бухгалтерия
65,"Ошибка при клонировании образа Docker: permission denied.",IT
66,"Сотруднику требуется предоставление материальной помощи.",HR
67,"Нужна выгрузка по налоговым обязательствам за год.",Бухгалтерия
68,"Сертификат Let's Encrypt просрочен на test.example.com.",IT
69,"Запрос на перевод в другую команду (внутренний рынок).",HR
70,"Платёж завис в банке — нужен статус исполнения.",Бухгалтерия
71,"Не запускается контейнер: ImagePullBackOff.",IT
72,"Прошу согласовать гибкий график работы.",HR
73,"Ошибка конвертации валют при формировании отчёта.",Бухгалтерия
74,"Проблемы с latency при подключении к удалённой БД.",IT
75,"Как заполнить заявление на соцпакет?",HR
76,"Не проходит проверка контрагента при оформлении договора.",Бухгалтерия
77,"Не работает корпоративный портал (HTTP 503).",IT
78,"Сотрудник просит перерасчёт за больничный.",HR
79,"Ошибки в налоговой декларации по НДС.",Бухгалтерия
80,"Падает приложение после обновления зависимостей.",IT
81,"Как оформить выходное пособие при сокращении?",HR
82,"Неверно сформированы регламентные проводки за месяц.",Бухгалтерия
83,"Не могу получить доступ к репозиторию через SSH: Permission denied (publickey).",IT
84,"Запрос на продление больничного.",HR
85,"Отчёт о движении денежных средств формируется с нулевыми суммами.",Бухгалтерия
86,"Проблема с правами на сетевой ресурс: \server\share недоступен.",IT
87,"Как оформить подработку для внешнего сотрудника?",HR
88,"Нужно внести изменения в классификатор по ОС.",Бухгалтерия
89,"Падает служба очередей на проде: OutOfMemory.",IT
90,"Прошу документ о порядках по отпуску для оформления.",HR
91,"Неверно распределяются затраты между подразделениями.",Бухгалтерия
92,"Не могу подключиться к мониторингу Grafana.",IT
93,"Прошу выдать справку о зарплате для детского сада.",HR
94,"Претензия по расчету НДФЛ — есть расхождение.",Бухгалтерия
95,"Обновление сертификатов прошло с ошибками.",IT
96,"Запрос на оформление временного перевода.",HR
97,"Требуется сверка взаимоотношений с контрагентом по 1С.",Бухгалтерия
98,"Сервис не доступен из-за ошибки 502.",IT
99,"Возникли вопросы по удержаниям в зарплате.",HR
100,"Нужно скорректировать налоговый расчёт по НДС.",Бухгалтерия
101,"Не загружается инсталлятор приложения.",IT
102,"Прошу начислить премию за проект.",HR
103,"Приходный ордер формируется с неправильной датой.",Бухгалтерия
104,"Некорректно работает SSO при входе через Azure AD.",IT
105,"Нужна помощь с оформлением больничного по порядку.",HR
106,"Формирование регламентной отчётности занимает слишком много времени.",Бухгалтерия
107,"Не работает push уведомление в мобильном приложении.",IT
108,"Как рассчитать компенсацию за неиспользованный отпуск?",HR
109,"В отчёте по НДС не подтягиваются ставочные разницы.",Бухгалтерия
110,"Репозиторий удалён случайно — нужно восстановить.",IT
111,"Прошу предоставить налоговую справку для авиакомпании.",HR
112,"Сбой при импорте внешних данных в 1С.",Бухгалтерия
113,"Не могу развернуть виртуальную машину через портал.",IT
114,"Прошу добавить в штатное расписание временного сотрудника.",HR
115,"Неверно отражены авансы в бухгалтерском учёте.",Бухгалтерия
